bus_id,type,pd,qd,gs,bs,area,vm,va,basekv,zone,vmax,vmin,lam_p,lam_q,mu_vmax,mu_vmin
1001,1,20.78,5.89,0,0,1,0.98393,-22.646,115,9,1.1,0.9,25.75,-3.48,0,0
1002,1,15.41,4.37,0,0,1,1.0229,-18.132,115,9,1.1,0.9,84.21,0.49,0,0
1003,1,0,0,0,0,1,1.0129,-17.012,115,9,1.1,0.9,-6.74,0.14,0,0
1004,2,0,0,0,0,1,1.0174,-18.849,230,9,1.1,0.9,-7.08,6.03,0,0
1005,1,0,0,0,0,1,1.0101,-16.099,115,9,1.1,0.9,-52.96,-29.63,0,0
1006,2,0,0,0,0,1,1.0037,-13.943,13.8,9,1.1,0.9,-50.44,0,0,0
1007,1,7.01,1.99,0,0.08,1,1.03,-18.502,115,9,1.1,0.9,73.76,0,0,0
1008,1,0,0,0,0,1,1.0242,-8.7508,115,9,1.1,0.9,-680.69,29.86,0,0
1009,2,0,0,0,0,1,1.0143,-5.4873,13.8,9,1.1,0.9,-680.32,29.76,0,0
1010,1,0,0,0,-2.19,1,1.03,-16.859,115,9,1.1,0.9,86.13,0,0,0
1011,2,0,0,0,0,1,1.0302,-15.111,22,9,1.1,0.9,86.02,0,0,0
1012,1,2.99,0.85,0,9.5,1,1.0168,-25.305,115,9,1.1,0.9,-344.59,36.1,0,0
1013,1,29.23,8.28,0,0,1,1.0096,-15.448,115,9,1.1,0.9,49.34,-0.98,0,0
1014,1,2.22,0.63,0,0,1,1.016,-11.967,115,9,1.1,0.9,71.89,-7.32,0,0
1015,1,7.51,2.13,0,0,1,1.032,-18.255,115,9,1.1,0.9,81.09,-0.15,0,0
1016,1,2.89,0.82,0,30,1,1.0189,-15.497,115,9,1.1,0.9,-1.91,-27.33,0,0
1017,1,18.34,5.2,0,0,1,0.99044,-21.412,115,9,1.1,0.9,26.56,-2.71,0,0
1018,1,0.07,0.02,0,0,1,0.99654,-20.156,115,9,1.1,0.9,29.91,-2.15,0,0
1019,1,61.78,17.5,0,142.98,1,1.0041,-22.237,115,9,1.1,0.9,21.25,-3.6,0,0
1020,1,0,0,0,76.73,1,1.0259,-15.253,115,9,1.1,0.9,-53.97,0,0,0
1021,2,0,0,0,0,1,1.0016,-8.6682,13.8,9,1.1,0.9,-52.36,0,0,0
1022,1,0,0,0,0,1,1.0157,-16.13,115,9,1.1,0.9,-6.07,0.19,0,0
1023,2,0,0,0,0,1,1.01,-7.2457,13.8,9,1.1,0.9,-5.92,0,0,0
1024,1,63.04,17.86,0,0,1,0.99717,-19.134,115,9,1.1,0.9,32.46,-0.99,0,0
1025,1,0,0,0,0,1,1.0211,-14.197,115,9,1.1,0.9,-52.26,-11.84,0,0
1026,2,0,0,0,0,1,1,-4.7073,13.8,9,1.1,0.9,-49.53,0,0,0
1027,1,101.21,28.68,0,75,1,1.014,-25.753,115,9,1.1,0.9,-5.64,-2.49,0,0
1028,1,10.01,2.84,0,0,1,1.019,-17.634,115,9,1.1,0.9,-4.89,0.5,0,0
1029,1,83.18,23.57,0,65.41,1,1.03,-24.955,115,9,1.1,0.9,-0.15,-0.61,0,0
1030,1,24.63,6.98,0,0,1,1.0183,-13.494,115,9,1.1,0.9,99.16,-10.05,0,0
1031,1,9.25,2.62,0,0,1,1.0192,-17.69,115,9,1.1,0.9,61.74,-0.03,0,0
1032,1,0,0,0,0,1,1.0065,-12.394,115,9,1.1,0.9,132.88,-43.51,0,0
1033,2,0,0,0,50,1,1.0259,-16.949,230,9,1.1,0.9,51.53,-22.14,0,0
1034,1,0,0,0,0,1,1.0065,-14.328,115,9,1.1,0.9,-27.54,-36.49,0,0
1035,2,0,0,0,0,1,1,-11.039,13.8,9,1.1,0.9,-23.36,0,0,0
1036,1,13.6,3.85,0,0,1,1.0006,-12.599,115,9,1.1,0.9,107.44,-21.86,0,0
1037,1,102.24,28.97,0,0,1,0.98137,-22.482,115,9,1.1,0.9,27.08,-3,0,0
1038,1,0,0,0,0,1,1.0201,-7.7595,115,9,1.1,0.9,110.79,-14.86,0,0
1039,2,0,0,0,0,1,1,-2.3899,22,9,1.1,0.9,112.08,0,0,0
1040,1,44.36,12.57,0,0,1,0.99584,-20.397,115,9,1.1,0.9,29.68,-1.71,0,0
1041,1,0,0,0,0,1,1.0049,-15.121,115,9,1.1,0.9,-1038.8,23.76,0,0
1042,2,0,0,0,0,1,1.0049,-15.121,13.8,9,1.1,0.9,-1038.8,23.76,0,0
1043,2,0,0,0,0,1,1,-11.884,13.8,9,1.1,0.9,-1037.9,0,0,0
1044,1,14.68,4.16,0,0,1,1.0152,-25.876,115,9,1.1,0.9,-141.55,-40.27,0,0
1045,1,98.56,27.93,0,0,1,0.98276,-24.352,115,9,1.1,0.9,18.05,-3.5,0,0
1046,1,11.08,3.14,0,12,1,1.0281,-22.494,115,9,1.1,0.9,-423.42,31.55,0,0
1047,1,0,0,0,0,1,1.0086,-13.372,115,9,1.1,0.9,47.24,-1.28,0,0
1048,2,0,0,0,0,1,1.0086,-13.372,18,9,1.1,0.9,47.24,-1.28,0,0
1049,2,0,0,0,0,1,1.0086,-13.372,18,9,1.1,0.9,47.24,-1.28,0,0
1050,2,0,0,0,0,1,1,-8.3175,18,9,1.1,0.9,47.17,0,0,0
1051,2,0,0,0,0,1,1,-6.8426,18,9,1.1,0.9,47.05,0,0,0
1052,2,0,0,0,0,1,1.001,-9.1684,18,9,1.1,0.9,47.13,0,0,0
1053,2,0,0,0,0,1,1.0257,-17.342,230,9,1.1,0.9,46.38,-0.32,0,0
1054,1,14.99,4.25,0,0,1,1.0125,-22.285,115,9,1.1,0.9,-18.58,0.24,0,0
1055,1,3.98,1.13,0,0,1,1.0056,-18.059,115,9,1.1,0.9,-8.07,-0.03,0,0
1056,1,0,0,0,56.13,1,1.03,-21.837,115,9,1.1,0.9,-20.84,0,0,0
1057,2,0,0,0,0,1,1.03,-21.837,18,9,1.1,0.9,-20.84,0,0,0
1058,1,13.46,3.81,0,0,1,1.0258,-11.36,115,9,1.1,0.9,-585.8,13.3,0,0
