fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,pf,qf,pt,qt,mu_sf,mu_st,mu_angmin,mu_angmax
1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.5,10.14,-67.25,-9,0,0,0,0
1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.5,10.14,-67.25,-9,0,0,0,0
1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.89,-13.09,78.17,14.37,0,0,0,0
1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.89,-13.09,78.17,14.37,0,0,0,0
1002,1007,0.07776,0.46693,0.06336,98,0,0,0,0,1,0,0,1.17,-5.06,-1.16,-1.6,0,0,0,0
1010,1002,0.05552,0.1357,0.01777,98,0,0,0,0,1,0,0,16.73,-2.21,-16.58,0.69,0,0,0,0
1004,1003,0.0045,0.11582,0,250,0,0,1,0,1,0,0,-28.31,5.49,28.35,-4.56,0,0,0,0
1022,1003,0.00485,0.02012,0.00341,221,0,0,0,0,1,0,0,77.69,-4.41,-77.4,5.24,0,0,0,0
1055,1003,0.01574,0.03782,0.00513,98,0,0,0,0,1,0,0,-48.69,1.04,49.06,-0.68,0,0,0,0
1004,3133,0.0042,0.03,0.055,523,0,0,0,0,1,0,0,186.56,-35.87,-185.11,40.56,0,0,0,0
1006,1005,0.00602,0.14707,0,42,0,0,1,0,1,0,0,25.73,-4.94,-25.69,5.94,0,0,0,0
1025,1005,0.01842,0.0821,0.01204,149,0,0,0,0,1,0,0,42.78,4.18,-42.45,-3.96,0,0,0,0
1005,1061,0.00599,0.02484,0.00422,221,0,0,0,0,1,0,0,75.9,-24.96,-75.53,26.08,0,0,0,0
1067,1005,0.01711,0.04181,0.00548,102.9,0,0,0,0,1,0,0,7.86,-23.28,-7.76,22.98,0,0,0,0
1007,1015,0.06224,0.37375,0.05072,98,0,0,0,0,1,0,0,-1.28,-3.01,1.28,-2.37,0,0,0,0
1031,1007,0.04803,0.27434,0.04123,98,0,0,0,0,1,0,0,4.59,-6.92,-4.57,2.71,0,0,0,0
1009,1008,0.00455,0.09471,0,120,0,0,1,0,1,0,0,61.87,-11.88,-61.69,15.53,0,0,0,0
1008,1032,0.04501,0.11002,0.01441,102.9,0,0,0,0,1,0,0,57.46,-5.85,-56.03,7.86,0,0,0,0
1008,1069,0.0083,0.03628,0.00553,149,0,0,0,0,1,0,0,4.24,-9.68,-4.23,9.14,0,0,0,0
1011,1010,0.00721,0.3246,0,46,0,0,1,0,1,0,0,9.97,0,-9.97,0.3,0,0,0,0
1010,1015,0.04703,0.28243,0.03833,98,0,0,0,0,1,0,0,8.83,-4.1,-8.79,0.25,0,0,0,0
1010,1030,0.0616,0.3699,0.0502,98,0,0,0,0,1,0,0,-15.59,3.68,15.75,-7.96,0,0,0,0
1012,1087,0.04934,0.20469,0.03473,149,0,0,0,0,1,0,0,-76.3,16.45,79.24,-7.9,0,0,0,0
3051,1012,0.0571,0.24977,0.03804,149,0,0,0,0,1,0,0,-70.33,16.64,73.31,-7.47,0,0,0,0
1013,1031,0.04509,0.27078,0.03675,98,0,0,0,0,1,0,0,13.93,-7.48,-13.83,4.3,0,0,0,0
1047,1013,0.00947,0.06117,0.01167,221,0,0,0,0,1,0,0,58.82,-10.21,-58.49,11.16,0,0,0,0
1086,1013,0.079,0.19311,0.02529,98,0,0,0,0,1,0,0,-15.06,10.01,15.33,-11.95,0,0,0,0
1014,1047,0.03566,0.14794,0.0251,149,0,0,0,0,1,0,0,17.25,-0.2,-17.15,-1.95,0,0,0,0
1014,1083,0.04105,0.18293,0.02682,149,0,0,0,0,1,0,0,-19.47,-0.43,19.62,-1.68,0,0,0,0
1016,1034,0.01828,0.10976,0.01489,98,0,0,0,0,1,0,0,-16.64,13.74,16.72,-14.75,0,0,0,0
1068,1016,0.02773,0.15837,0.0238,98,0,0,0,0,1,0,0,-13.61,-18.21,13.75,16.59,0,0,0,0
1018,1017,0.03227,0.07887,0.01033,98,0,0,0,0,1,0,0,26.3,-3.26,-26.08,2.8,0,0,0,0
1017,1029,0.03244,0.14188,0.02161,149,0,0,0,0,1,0,0,36.52,-35.65,-35.69,37.11,0,0,0,0
1037,1017,0.00752,0.03352,0.00491,221,0,0,0,0,1,0,0,-57.12,-13.47,57.39,14.19,0,0,0,0
1047,1017,0.036,0.156,0.024,150,0,0,0,0,1,0,0,88.99,-3.72,-86.18,13.47,0,0,0,0
1024,1018,0.01094,0.06572,0.00892,98,0,0,0,0,1,0,0,26.45,-3.66,-26.37,3.24,0,0,0,0
1019,1040,0.04978,0.20651,0.03504,149,0,0,0,0,1,0,0,-13.73,5.79,13.85,-8.79,0,0,0,0
1019,1045,0.01522,0.0372,0.00487,221,0,0,0,0,1,0,0,104.64,16.22,-102.94,-12.56,0,0,0,0
1019,1071,0.0044,0.028,0.0054,225,0,0,0,0,1,0,0,-43.95,52.85,44.15,-52.07,0,0,0,0
1071,1019,0.0044,0.028,0.0054,225,0,0,0,0,1,0,0,44.15,-52.07,-43.95,52.85,0,0,0,0
1019,1084,0.03,0.16,0.025,220,0,0,0,0,1,0,0,-64.79,-1.07,66.04,5.15,0,0,0,0
1021,1020,0.00327,0.07812,0,250,0,0,1,0,1,0,0,149.63,-28.73,-148.87,46.81,0,0,0,0
1025,1020,0.00828,0.03434,0.00583,149,0,0,0,0,1,0,0,50,-26.04,-49.75,26.47,0,0,0,0
1084,1020,0.01056,0.06337,0.0086,221,0,0,0,0,1,0,0,-33.75,9.44,33.87,-9.61,0,0,0,0
1020,3059,0.0189,0.06,0.006,300,0,0,0,0,1,0,0,62.94,3.98,-62.23,-2.34,0,0,0,0
1020,3130,0.00996,0.06938,0.01134,221,0,0,0,0,1,0,0,101.82,13.1,-100.82,-7.32,0,0,0,0
1023,1022,0.00535,0.11733,0,250,0,0,1,0,1,0,0,135,-0.55,-134.05,21.52,0,0,0,0
1022,1028,0.01433,0.09253,0.01765,221,0,0,0,0,1,0,0,28.18,-8.56,-28.06,7.49,0,0,0,0
1022,1028,0.01433,0.09253,0.01765,221,0,0,0,0,1,0,0,28.18,-8.56,-28.06,7.49,0,0,0,0
1024,1090,0.01414,0.06303,0.00924,149,0,0,0,0,1,0,0,-89.49,-14.2,90.66,18.46,0,0,0,0
1026,1025,0.0042,0.18046,0,200,0,0,1,0,1,0,0,93.15,-6.13,-92.78,21.86,0,0,0,0
1027,1045,0.02505,0.10957,0.01669,221,0,0,0,0,1,0,0,-14.79,31.69,15.1,-31.99,0,0,0,0
1056,1027,0.03121,0.0763,0.00999,250,0,0,0,0,1,0,0,88.78,-12.03,-86.42,16.75,0,0,0,0
1028,3109,0.00428,0.01875,0.00286,250,0,0,0,0,1,0,0,46.11,-17.82,-46.01,17.97,0,0,0,0
1029,1056,0.02054,0.11733,0.01763,221,0,0,0,0,1,0,0,-47.5,8.72,47.95,-7.99,0,0,0,0
1030,1038,0.07404,0.42285,0.06354,98,0,0,0,0,1,0,0,-23.68,1.65,24.1,-5.86,0,0,0,0
1083,1030,0.06537,0.37334,0.0561,98,0,0,0,0,1,0,0,16.88,-4.15,-16.7,-0.67,0,0,0,0
1033,1032,0.00283,0.06758,0,170,0,0,1,0,1,0,0,-119.7,39.32,120.13,-29.13,0,0,0,0
1032,1036,0.01956,0.11746,0.01594,98,0,0,0,0,1,0,0,3.8,3.65,-3.8,-5.21,0,0,0,0
1038,1032,0.045,0.11,0.015,155,0,0,0,0,1,0,0,70.1,-13.79,-67.9,17.62,0,0,0,0
1033,1081,0.003,0.031,0.059,548,0,0,0,0,1,0,0,101.43,-24.89,-101.13,21.83,0,0,0,0
